Variable,Description,Type,Value range,Notes,In Block (self/social),Stage (raw/preprocessed),Required,
block,Self vs social block,,"1,2","1 = self, 2 = social",Both,raw,Yes,
trialType,Trial type,Discrete,"1,2,3"," 1 = risk, 2 = ambiguity, 3 = loss",Both,raw,Yes,
rewardMag,Reward amount of gamble option,Continuous,2 to 40,,Both,raw,Yes,
lossMag,Loss amount of gamble option,Continuous,-14 to 0,,Both,raw,Yes,
safeMag,Amount of safe option,Continuous,1 to 12,,Both,raw,Yes,
rewardProb,Probability of receiving reward (vs loss) in gamble option,Continuous,0.1-0.9 in 0.1 increments,,Both,raw,Yes,
safeProb,"Probability of receiving safeMag amount (vs getting 0) in safe option, sometimes is 0.5 in ambiguity trial)",Discrete,"1, 0.5",,Both,raw,Yes,
ambiguity,"Whether trial is ambiguity trial and amount of ambiguity (0 = risk trial with no ambiguity, 0.25/0.5/0.75 = ambiguity trial)",Discrete,"0, 0.25, 0.5, 0.75",,Both,raw,Yes,
trials.thisRepN,,,0,,,raw,No,
trials.thisTrialN,Trial number,,0-41,Trial number in task (self block),Self,raw,No,
trials.thisN,Trial number,,0-41,Trial number in task (self block),Self,raw,Yes,
trials.thisIndex,Trial number,,0-41,Trial number in task (self block),Self,raw,No,
outcome,"Outcome/reward of trial (will be one of these: safeMag, rewardMag, lossMag)",Continuous,range of possible reward values,"outcomes are not actually shown to participants, this is just to calculate the bonus",Both,raw,Yes,
scannerTimer_sync,Scanner time at sync complete,,~0,Should be ~0,Both,raw,Yes,
instruction.started,,,,,Both,raw,No,
scannerTimer_dummy_Start,Scanner time at dummy start,Continuous,,,Both,raw,Yes,
dummy_fix.started,,,,,Both,raw,No,
scannerTimer_dummy_End,Scanner time at dummy end,Continuous,,,Both,raw,No,
scannerTimer_self_Start,Scanner time at self choice,Continuous,,,Self,raw,Yes,
gamble_left_self,"Whether the safe option was on the left (0= safe option on left, 1 = safe option right)",Discrete,"0,1",,Both,raw,Yes,
