Variable,Description,Type,Value range,Notes,In Block (self/social),Stage (raw/preprocessed),Required,Keep in .tsv file,trial_type label in .tsv file
block,Self vs social block,,"1,2","1 = self, 2 = social",Both,raw,Yes,Separate column,
trialType,Trial type,Discrete,"1,2,3","1 = risk, 2 = ambiguity, 3 = loss",Both,raw,Yes,Separate column,
rewardMag,Reward amount of gamble option,Continuous,2 to 40,,Both,raw,Yes,Separate column,
lossMag,Loss amount of gamble option,Continuous,-14 to 0,,Both,raw,Yes,Separate column,
safeMag,Amount of safe option,Continuous,1 to 12,,Both,raw,Yes,Separate column,
rewardProb,Probability of receiving reward (vs loss) in gamble option,Continuous,0.1-0.9 in 0.1 increments,,Both,raw,Yes,Separate column,
safeProb,"Probability of receiving safeMag amount (vs getting 0) in safe option, sometimes is 0.5 in ambiguity trial)",Discrete,"1, 0.5",,Both,raw,Yes,Separate column,
ambiguity,"Whether trial is ambiguity trial and amount of ambiguity (0 = risk trial with no ambiguity, 0.25/0.5/0.75 = ambiguity trial)",Discrete,"0, 0.25, 0.5, 0.75",,Both,raw,Yes,Separate column,
trials.thisRepN,,,0,,,raw,No,No,
trials.thisTrialN,Trial number,,0-41,Trial number in task (self block),Self,raw,No,No,
trials.thisN,Trial number,,0-41,Trial number in task (self block),Self,raw,Yes,Separate column,
trials.thisIndex,Trial number,,0-41,Trial number in task (self block),Self,raw,No,No,
outcome,"Outcome/reward of trial (will be one of these: safeMag, rewardMag, lossMag)",Continuous,range of possible reward values,"outcomes are not actually shown to participants, this is just to calculate the bonus",Both,raw,Yes,Separate column,
scannerTimer_sync,Scanner time at sync complete,,~0,Should be ~0,Both,raw,No,No,
instruction.started,,,,,Both,raw,No,No,
scannerTimer_dummy_Start,Scanner time at dummy start,Continuous,,,Both,raw,No,No,
dummy_fix.started,,,,,Both,raw,No,No,
scannerTimer_dummy_End,Scanner time at dummy end,Continuous,,,Both,raw,No,No,
scannerTimer_self_Start,Scanner time at self choice,Continuous,,,Self,raw,Yes,Pivot to onset,self_choice
gamble_left_self,"Whether the safe option was on the left (0= safe option on left, 1 = safe option right)",Discrete,"0,1",,Self,raw,Yes,Separate column,
gamble_left_social,"Whether the safe option was on the left (0= safe option on left, 1 = safe option right)",Discrete,"0,1",,Social,raw,Yes,Separate column,
reward_top_self,"Gamble top was reward (vs loss) (TRUE = reward was on top, FALSE = reward was on the bottom)",Boolean,"TRUE, FALSE",,Both,raw,Yes,Separate column,
top_yellow_self,"Gamble top option is gold color (vs blue)(TRUE = top was gold, FALSE = bottom was gold)",Boolean,"TRUE, FALSE","(TRUE = top was yellow, FALSE = bottom was yellow)",Both,raw,Yes,Separate column,
selfOptDisplayDur,Self choice duration ,Continuous,<3,,Self,raw,Yes,Pivot to duration,self_choice
self_keys,Which option the player chose (left/right),Nominal,"['left'],['right']",,Self,raw,Yes,Separate column,
self_RT,RT to choose safe/gamble options in each trial,Continuous,<3,,Self,raw,Yes,Separate column,
self_safe_top_started,,,,,Self,raw,No,No,
scannerTimer_self_confirm_Start,Scanner time at self confirm,Continuous,,,Self,raw,Yes,Pivot to onset,self_choice_validation
self_responded,"Self choice responded (1 = responded, 0 = missed)",Boolean,"0,1",,Self,raw,Yes,Separate column,
selfConfirmationDur,Confirmation duration,Continuous,~0.5,Self confirmation/validation screen duration,Self,raw,Yes,Pivot to duration,self_choice_validation
self_confirm_safe_top_5_started,,,,,Self,raw,No,No,
scannerTimer_jitterself_Start,Scanner time at self fixation start,Continuous,,,Self,raw,Yes,Pivot to onset,self_iti
